"law_name_ar","law_number","law_year","law_type","article_number","article_content","is_amended","chapter_number","section_number","book_number"
"القانون المدني العراقي","40","1951","مدني","1","1 – تسري النصوص التشريعیة على جمیع المسائل التي تتناولھا ھذه النصوص في لفظھا او في فحواھا. 2 – فإذا لم يوجد نص تشريعي يمكن تطبیقه حكمت المحكمة بمقتضى العرف فإذا لم يوجد فبمقتضى مبادئ الشريعة الاسلامیة الاكثر ملائمة لنصوص ھذا القانون دون التقید بمذھب معین فإذا لم يوجد فبمقتضى قواعد العدالة. 3 – وتسترشد المحاكم في كل ذلك بالاحكام التي اقرھا القضاء والفقه في العراق ثم في البلاد الاخرى التي تتقارب قوانینھا مع القوانین العراقیة.","true","الفصل الاول – تطبیق القانون","الفرع الاول – احكام عامة","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","2","لا مساغ للاجتھاد في مورد النص.","true","الفصل الاول – تطبیق القانون","الفرع الاول – احكام عامة","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","3","ما ثبت على خلاف القیاس فغیره لا يقاس علیه.","true","الفصل الاول – تطبیق القانون","الفرع الاول – احكام عامة","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","4","1 – اذا تعارض المانع والمقتضى قدم المانع. 2 – واذا زال المانع عاد الممنوع، ولكن الساقط لا يعود.","true","الفصل الاول – تطبیق القانون","الفرع الاول – احكام عامة","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","5","لا ينكر تغیر الاحكام بتغیر الازمان.","true","الفصل الاول – تطبیق القانون","الفرع الاول – احكام عامة","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","6","الجواز الشرعي ينافي الضمان، فمن استعمل حقه استعمالاً جائزاً لم يضمن ما ينشأ عن ذلك من الضرر.","true","الفصل الاول – تطبیق القانون","الفرع الاول – احكام عامة","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","7","1 – من استعمل حقه استعمالاً غیر جائز وجب علیه الضمان. 2 – ويصبح استعمال الحق غیر جائز في الاحوال الآتیة: أ – اذا لم يقصد بھذا الاستعمال سوى الاضرار بالغیر. ب – اذا كانت المصالح التي يرمي ھذا الاستعمال الى تحقیقھا قلیلة الاھمیة بحیث لا تتناسب مطلقاً مع ما يصیب مع ما يصیب الغیر من ضرر بسببھا. ج – اذا كانت المصالح التي يرمي ھذا الاستعمال الى تحقیقھا غیر مشروعة.","true","الفصل الاول – تطبیق القانون","الفرع الاول – احكام عامة","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","8","درء الفاسد اولى من جلب المنافع.","true","الفصل الاول – تطبیق القانون","الفرع الاول – احكام عامة","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","9","تحسب المواعید بالتقويم المیلادي ما لم ينص القانون على غیر ذلك.","true","الفصل الاول – تطبیق القانون","الفرع الاول – احكام عامة","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","10","لا يعمل بالقانون الا من وقت صیرورته نافذاً فلا يسري على ما سبق من الوقائع الا اذا وجد نص في القانون الجديد يقضي بغیر ذلك او كان القانون الجديد متعلقاً بالنظام العام او الآداب.","true","الفصل الاول – تطبیق القانون","الفرع الثاني","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","11","1 – النصوص الجديدة المتعلقة بالاھلیة تسري على جمیع الاشخاص الذين تطبق علھیم الشروط المقررة في ھذه النصوص. 2 – فإذا عاد شخص توافرت فیه الاھلیة بحسب نصوص قديمة ناقص الاھلیة بمقتضى نصوص جديدة فان ذلك لا يؤثر في تصرفاته السابقة.","true","الفصل الاول – تطبیق القانون","الفرع الثاني","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","12","1 – النصوص الجديدة المتعلقة بالتقادم تسري من وقت العمل بھا على كل تقادم لم يكتمل. ولكن النصوص القديمة ھي التي تسري على المسائل الخاصة ببدء التقادم وقفه وانقطاعه وذلك عن المدة السابقة على العمل بالنصوص الجديدة. 2 – اذا قرر النص الجديد مدة للتقادم اقصر مما قرره النص القديم سرت المدة الجديدة من وقت العمل بالنص الجديد ولو كانت المدة القديمة قد بدأت قبل ذلك لكن اذا كان الباقي من المدة التي نص علیھا القانون القديم اقصر من المدة التي قررھا القانون الجديد فان التقادم يتم انقضاء ھذا الباقي.","true","الفصل الاول – تطبیق القانون","الفرع الثاني","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","13","الغیت ھذه المادة بموجب قانون الاثبات رقم 107 لسنة .1979","true","الفصل الاول – تطبیق القانون","الفرع الثاني","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","14","يقاضي العراقي امام محاكم العراق عما ترتب في ذمته من حقوق حتى ما نشأ منھا في الخارج.","true","الفصل الاول – تطبیق القانون","الفرع الثاني","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","15","يقاضي الاجنبي امام محاكم العراق في الاحوال الآتیة: أ – اذا وجد في العراق. ب – اذا كانت المقاضاة في حق متعلق بعقار موجود في العراق او بمنقول موجود فیه وقت رفع الدعوى. ج – اذا كان موضوع التقاضي عقداً تم ابرامه في العراق او كان واجب التنفیذ او كان التقاضي عن حادثة وقعت في العراق.","true","الفصل الاول – تطبیق القانون","الفرع الثاني","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","16","لا تكون الاحكام الصادرة من محاكم اجنبیة قابلة للتنفیذ في العراق الا اذا اعتبرت كذلك وفقاً للقواعد التي قررھا القانون الصادر في ھذا الشأن.","true","الفصل الاول – تطبیق القانون","الفرع الثاني","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","17","1 – القانون العراقي ھو المرجع في تكییف العلاقات عندما يطلب تحديد نوع ھذه العلاقات في قضیة تتنازع فیھا القوانین لمعرفة القانون الواجب تطبیقه من بینھا. 2 – ومع ذلك فان القانون الذي يحدد ما اذا كان الشيء عقاراً او منقولاً ھو قانون الدولة التي يوجد فیھا ھذا الشيء.","true","الفصل الاول – تطبیق القانون","الفرع الثاني","الباب التمھیدي"
"القانون المدني العراقي","40","1951","مدني","18","1 – الاھلیة تسري علیھا قانون الدولة التي ينتمي الیھا الشخص بجنسیته. 2 – ومع ذلك ففي التصرفات المالیة التي تعقد في العراق وتترتب اثارھا فیه، اذا كان احد الطرفین اجنبیاً ناقص الاھلیة وكان سبب نقص اھلیته يرجع الى سبب فیه خفاء لا يسھل على الطرف الآخر تبینه، فان الاجنبي يعتبر في ھذا التصرف كامل الاھلیة.","true"
"القانون المدني العراقي","40","1951","مدني","68","1 – الحقوق العینیة الاصلیة ھي حق الملكیة وحق التصرف وحق العقر وحقوق المنفعة والاستعمال والسكنى والمساطحة وحقوق الارتفاق وحق الوقف وحق ا لاجازة الطويلة. 2 – والحقوق العینیة ھي حق الرھن التأمیني وحق الرھن الحیازي وحقوق الامتیاز.","true","","",""
"القانون المدني العراقي","40","1951","مدني","69","1 – الحق الشخصي ھو رابطة قانونیة ما بین شخصین دائن او مدين يطالب بمقتضاھا الدائن المدين بأن ينقل حقاً عینیاً او ان يقوم بعمل او ان يمتنع عن عمل. 2 – ويعتبر حقاً شخصیاً الالتزام بنقل الملكیة اياً كان محلھا نقداً او مثلیات او قیمیات، ويعتبر كذلك حقاً شخصیاً الالتزام بتسلیم شيء معین. 3 – ويؤدي التعبیر (الالتزام) وبلفظ (الدين) نفس المعنى الذي يؤديه التعبیر بلفظ (الحق الشخصي).","true","","",""
"القانون المدني العراقي","40","1951","مدني","70","1 – الاموال المعنوية ھي التي ترد على شيء غیر مادي كحقوق المؤلف والمخترع والفنان. 2 – ويتبع في حقوق المؤلفین والمخترعین والفنانین وعلامات التجارة ونحو ذلك من الاموال المعنوية احكام القوانین الخاصة.","true","","",""
"القانون المدني العراقي","40","1951","مدني","71","1 – تعتبر اموالاً عامة العقارات والمنقولات التي للدولة او للاشخاص المعنوية والتي تكون مخصصة لمنفعة عامة بالفعل او بمقتضى القانون. 2 – وھذه الاموال لا يجوز التصرف فیھا او الحجر علیھا او تملكھا بالتقادم.","true","","",""
"القانون المدني العراقي","40","1951","مدني","72","تفقد الاموال العامة صفتھا بانتھاء تخصیصھا للمنفعة العامة وينتھي التخصیص بمقتضى القانون او بالفعل او بانتھاء الغرض الذي من اجله خصصت تلك الاموال للمنفعة العامة.","true","","",""
"القانون المدني العراقي","40","1951","مدني","73","العقد ھو ارتباط الايجاب الصادر من احد العاقدين بقبول الآخر على وجه يثبت اثره في المعقود علیه.","true","الفصل الاول – العقد","","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","74","يصح ان يرد العقد: 1 – على الاعیان منقولة كانت او عقاراً لتملیكھا بعوض بیعاً او بغیر عوض ھبة ولحفظھا وديعة او لاستھلاكھا بالانتفاع بھا قرضاً . 2 – وعلى منافع الاعیان للانتفاع بھا بعوض اجارة او بغیر عوض اعارة. 3 – وعلى عمل معین او على خدمة معینة.","true","الفصل الاول – العقد","","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","75","يصح ان يرد العقد على أي شيء آخر لا يكون الالتزام به ممنوعاً بالقانون او مخالفاً للنظام العام او للآداب.","true","الفصل الاول – العقد","","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","76","1 – تسري على العقود المسماة منھا وغیر المسماة القواعد العامة التي يشتمل علیھا ھذا الفصل. 2 – اما القواعد التي ينفرد بھا بعض العقود المدنیة فتقررھا الاحكام الواردة في الفصول المعقودة لھا، وتقرر قوانین التجارة القواعد الخاصة بالعقود التجارية.","true","الفصل الاول – العقد","","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","77","1 – الايجاب والقبول كل لفظین مستعملین عرفاً لإنشاء العقد، واي لفظ صر فھو ايجاب والثاني قبول. 2 – ويكون الايجاب والقبول بصیغة الماضي، كما يكونان بصیغة المضارع او بصیغة الامر اذا اريد بھما حال.","true","الفصل الاول – العقد","الفرع الاول – اركان العقد","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","78","صیغة الاستقبال التي ھي بمعنى الوعد المجرد ينعقد بھا وعداً ملزماً اذا انصرف الى ذلك قصد العاقدين.","true","الفصل الاول – العقد","الفرع الاول – اركان العقد","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","79","كما يكون الايجاب او القبول بالمشافھة يكون بالمكاتبة وبالاشارة الشائعة الاستعمال ولو من غیر الاخرس وبالمبادلة الفعلیة الدالة على التراضي وباتخاذ أي مسلك آخر لا تدع ظروف الحال شكاً لأدلته على التراضي.","true","الفصل الاول – العقد","الفرع الاول – اركان العقد","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","80","1 – يعتبر عرض البضائع مع بیان ثمنھا ايجاباً . 2 – اما النشر والاعلان وبیان الاسعار الجاري التعامل بھا وكل بیان آخر متعلق بعروض او بطلبات موجھة للجمھور او للافراد فلا يعتبر عند الشك ايجاباً وانما يكون دعوة الى التفاوض.","true","الفصل الاول – العقد","الفرع الاول – اركان العقد","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","81","1 – لا ينسب الى ساكت قول ولكن السكوت في معرض الحاجة الى البیان يعتبر قولاً . 2 – ويعتبر السكوت قبولاً بوجه خاص اذا كان ھناك تعامل سابق بین المتعاقدين واتصل الايجاب بھذا التعامل او اذا تمخض الايجاب لمنفعة من وجه الیه، وكذلك يكون سكوت المشتري بعد ان يتسلم البضائع التي اشتراھا قبولاً لما ورد في قائمة الثمن من شروط.","true","الفصل الاول – العقد","الفرع الاول – اركان العقد","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","82","المتعاقدان بالخیار بعد الايجاب الى آخر المجلس، فلو رجع الموجب بعد الايجاب وقبل قبول او صدر من احد المتعاقدين قول او فعل يدل على الاغراض يبطل الايجاب ولا عبرة بالقبول الواقع بعد ذلك.","true","الفصل الاول – العقد","الفرع الاول – اركان العقد","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","83","تكرار الايجاب قبل القبول يبطل الاول ويعتبر فیه الايجاب الثاني.","true","الفصل الاول – العقد","الفرع الاول – اركان العقد","الباب الاول – مصادر الالتزام"
"القانون المدني العراقي","40","1951","مدني","84","اذا حدد الموجب میعاداً للقبول التزم بإيجابه الى ان ينقضي ھذا المیعاد.","true","الفصل الاول – العقد","الفرع الاول – اركان العقد","الباب الاول – مصادر الالتزام"
